Kommunekode,Vejkode,Lokalitetsnavn,Lokalitetsnummer
956,325,Nuuk,600
956,327,Nuuk,600
956,33,Nuuk,600
956,330,Nuuk,600
956,333,Nuuk,600
956,334,Nuuk,600
956,34,Nuuk,600
956,343,Nuuk,600
956,344,Nuuk,600
956,35,Nuuk,600
956,355,Nuuk,600
956,36,Nuuk,600
956,41,Nuuk,600
956,42,Nuuk,600
956,44,Nuuk,600
956,47,Nuuk,600
956,5,Nuuk,600
956,50,Nuuk,600
956,51,Nuuk,600
956,57,Nuuk,600
956,6,Nuuk,600
956,61,Nuuk,600
956,63,Nuuk,600
956,67,Nuuk,600
956,68,Nuuk,600
956,7,Nuuk,600
956,74,Nuuk,600
956,75,Nuuk,600
956,78,Nuuk,600
956,82,Nuuk,600
956,85,Nuuk,600
956,9,Nuuk,600
956,93,Nuuk,600
956,94,Nuuk,600
956,96,Nuuk,600
956,99,Nuuk,600
956,261,Qeqertarsuatsiaat,601
956,142,Kapisillit,605
956,192,Kapisillit,605
957,10,Maniitsoq,700
957,100,Maniitsoq,700
957,103,Maniitsoq,700
957,104,Maniitsoq,700
957,111,Maniitsoq,700
957,113,Maniitsoq,700
957,116,Maniitsoq,700
957,12,Maniitsoq,700
957,122,Maniitsoq,700
957,126,Maniitsoq,700
957,131,Maniitsoq,700
957,133,Maniitsoq,700
957,136,Maniitsoq,700
957,14,Maniitsoq,700
957,141,Maniitsoq,700
957,155,Maniitsoq,700
957,18,Maniitsoq,700
957,2,Maniitsoq,700
957,22,Maniitsoq,700
957,24,Maniitsoq,700
957,34,Maniitsoq,700
957,48,Maniitsoq,700
957,49,Maniitsoq,700
957,50,Maniitsoq,700
957,52,Maniitsoq,700
957,56,Maniitsoq,700
957,58,Maniitsoq,700
957,62,Maniitsoq,700
957,64,Maniitsoq,700
957,77,Maniitsoq,700
957,78,Maniitsoq,700
957,82,Maniitsoq,700
957,9,Maniitsoq,700
957,91,Maniitsoq,700
957,96,Maniitsoq,700
957,9911,Maniitsoq,700
957,9912,Maniitsoq,700
957,9913,Maniitsoq,700
957,9914,Maniitsoq,700
957,9915,Maniitsoq,700
957,21,Atammik,701
957,87,Napasoq,702
957,69,Kangaamiut,703
957,150,Ungusivik,722
957,101,Sisimiut,800
957,102,Sisimiut,800
957,105,Sisimiut,800
957,108,Sisimiut,800
957,109,Sisimiut,800
957,11,Sisimiut,800
957,110,Sisimiut,800
957,112,Sisimiut,800
957,114,Sisimiut,800
957,115,Sisimiut,800
957,119,Sisimiut,800
957,120,Sisimiut,800
957,121,Sisimiut,800
957,123,Sisimiut,800
957,125,Sisimiut,800
957,128,Sisimiut,800
957,129,Sisimiut,800
957,132,Sisimiut,800
957,134,Sisimiut,800
957,135,Sisimiut,800
957,138,Sisimiut,800
957,139,Sisimiut,800
957,144,Sisimiut,800
957,145,Sisimiut,800
957,147,Sisimiut,800
957,149,Sisimiut,800
957,15,Sisimiut,800
957,153,Sisimiut,800
957,156,Sisimiut,800
957,157,Sisimiut,800
957,158,Sisimiut,800
957,159,Sisimiut,800
957,16,Sisimiut,800
957,17,Sisimiut,800
957,19,Sisimiut,800
957,23,Sisimiut,800
957,25,Sisimiut,800
957,26,Sisimiut,800
957,27,Sisimiut,800
957,28,Sisimiut,800
957,3,Sisimiut,800
957,30,Sisimiut,800
957,31,Sisimiut,800
957,33,Sisimiut,800
957,35,Sisimiut,800
957,39,Sisimiut,800
957,4,Sisimiut,800
957,42,Sisimiut,800
957,43,Sisimiut,800
957,44,Sisimiut,800
957,45,Sisimiut,800
957,53,Sisimiut,800
957,55,Sisimiut,800
957,6,Sisimiut,800
957,60,Sisimiut,800
957,61,Sisimiut,800
957,63,Sisimiut,800
957,66,Sisimiut,800
957,67,Sisimiut,800
957,68,Sisimiut,800
957,72,Sisimiut,800
957,74,Sisimiut,800
957,75,Sisimiut,800
957,76,Sisimiut,800
957,79,Sisimiut,800
957,80,Sisimiut,800
957,81,Sisimiut,800
957,84,Sisimiut,800
957,89,Sisimiut,800
957,90,Sisimiut,800
957,93,Sisimiut,800
957,94,Sisimiut,800
957,97,Sisimiut,800
957,98,Sisimiut,800
957,99,Sisimiut,800
957,9901,Sisimiut,800
957,9902,Sisimiut,800
957,9903,Sisimiut,800
957,9904,Sisimiut,800
957,9905,Sisimiut,800
957,9908,Sisimiut,800
957,9999,Sisimiut,800
957,54,Itilleq,801
957,124,Sarfannguit,803
957,163,Kangerlussuaq,820
957,170,Kangerlussuaq,820
957,171,Kangerlussuaq,820
957,172,Kangerlussuaq,820
957,173,Kangerlussuaq,820
957,174,Kangerlussuaq,820
957,178,Kangerlussuaq,820
957,180,Kangerlussuaq,820
957,182,Kangerlussuaq,820
957,187,Kangerlussuaq,820
957,190,Kangerlussuaq,820
957,191,Kangerlussuaq,820
957,192,Kangerlussuaq,820
957,71,Kangerlussuaq,820
958,153,Kangaatsiaq,900
958,10,Attu,902
958,91,Iginniarfik,905
958,206,Niaqornaarsuk,906
958,99,Ikerasaarsuk,908
